,"('Indicador global de la actividad econ贸mica. Total (IGAE)\xa0Base 2013 Serie original',)","('Remesas Familiares Total',)","('Tipo de cambio                                            Pesos por d贸lar E.U.A. Para solventar obligaciones denominadas en moneda extranjera Fecha de determinaci贸n (FIX)                              Cotizaciones promedio',)","('Indice de volumen de la inversi贸n fija bruta Total',)","('IPC Por objeto del gasto                                                         Nacional I n d i c e   G e n e r a l',)","(' Cuenta corriente\xa0(I - II)',)",RNN cuenta corriente,LSTM cuenta corriente
RMSE,0.029,0.066,0.045,0.1,0.034,0.924,1.209,1.215
2021-06-30 00:00:00,111.36593954510245,4409.99707645843,20.04074174271908,88.18095856217887,112.80942910121621,4930.704013000002,,
2021-07-31 00:00:00,111.2990431255613,4425.502318831783,20.04074174271908,89.70289757637397,113.29214997224004,7321.305422553518,,
2021-08-31 00:00:00,111.71715457450557,4498.709854932526,20.04074174271908,91.46075203504303,113.65544842591042,7321.305422553518,,
2021-09-30 00:00:00,109.71384227422247,4395.803782189203,20.04074174271908,91.13551147856843,114.03677719118784,7321.305422553518,,
2021-10-31 00:00:00,114.70214421312595,4504.908602535585,20.04074174271908,93.5548553972543,114.62540904994975,7828.591123118938,5788.83203125,3737.033935546875
2021-11-30 00:00:00,116.07732381812046,4305.657068904491,20.04074174271908,95.67750409117566,115.25498065358632,7828.591123118938,6192.5126953125,4092.337646484375
2021-12-31 00:00:00,114.66645712779453,4547.1470677878015,20.04074174271908,97.46155818977189,115.7977269112362,7828.591123118938,6351.53369140625,4572.64404296875
2022-01-31 00:00:00,111.92310393699512,4110.92955030991,20.04074174271908,89.08900068001743,116.43918714955572,10724.80684264166,6570.55615234375,4842.177734375
2022-02-28 00:00:00,109.53066240607359,4096.105030256017,20.04074174271908,88.35603330689075,116.89567164442856,10724.80684264166,6134.76708984375,4949.10400390625
2022-03-31 00:00:00,113.55788431547288,5095.299843950356,20.04074174271908,91.8204214912204,117.36885144134135,10724.80684264166,5817.8935546875,4898.6162109375
2022-04-30 00:00:00,107.75847143425442,4744.259734963453,20.04074174271908,85.04522350183845,117.30766707218116,5847.483567577673,5339.72607421875,4610.9169921875
2022-05-31 00:00:00,110.33664007814725,5241.8842553526465,20.04074174271908,84.80122126616695,117.3926080154714,5847.483567577673,3342.114013671875,2831.828857421875
2022-06-30 00:00:00,111.8871424549537,5204.746464542799,20.04074174271908,88.73120004381317,117.76084356407627,5847.483567577673,1602.742919921875,707.40380859375
2022-07-31 00:00:00,112.40915797253948,5219.59367170239,20.04074174271908,90.3013820132266,118.25507590572133,8052.052620056212,721.3832397460938,127.45521545410156
2022-08-31 00:00:00,112.80132209877492,5301.100046273289,20.04074174271908,91.89757139523915,118.63837094477378,8052.052620056212,187.0896453857422,344.9222106933594
2022-09-30 00:00:00,110.92137572135132,5208.659249300033,20.04074174271908,91.60246866736362,119.038406133506,8052.052620056212,4477.00537109375,2029.2901611328125
2022-10-31 00:00:00,115.59805702314287,5327.526640179902,20.04074174271908,93.79520495471444,119.63967558491628,8500.66301759856,4323.6318359375,4053.132080078125
2022-11-30 00:00:00,116.88475719632822,5132.755379798329,20.04074174271908,95.71449984351942,120.28048675122821,8500.66301759856,5150.6142578125,4461.52490234375
2022-12-31 00:00:00,115.56465148807618,5390.769054497344,20.04074174271908,97.32443828569826,120.83656915946658,8500.66301759856,5718.1005859375,4724.693359375
2023-01-31 00:00:00,112.99445214194374,4947.494838310295,20.04074174271908,89.74323036113677,121.48896229977906,10966.971374085148,6100.251953125,4884.9091796875
2023-02-28 00:00:00,110.74935493185146,4940.524130113517,20.04074174271908,89.07633078502015,121.96108261358962,10966.971374085148,5740.74365234375,4953.27783203125
2023-03-31 00:00:00,114.52658218895931,5983.556813249446,20.04074174271908,92.22379408031675,122.44957372090964,10966.971374085148,5381.19580078125,4914.642578125
2023-04-30 00:00:00,109.08406028928461,5633.477370782069,20.04074174271908,86.05717751306425,122.41713553939668,6712.8148067013,4641.31396484375,4742.271484375
2023-05-31 00:00:00,111.50608077434855,6154.682522383069,20.04074174271908,85.83422328248311,122.52720356405626,6712.8148067013,2175.968994140625,3590.304443359375
2023-06-30 00:00:00,112.96073090715805,6127.60673853457,20.04074174271908,89.41774780940983,122.91364689208376,6712.8148067013,514.0117797851562,1498.5316162109375
2023-07-31 00:00:00,113.45015151532488,6153.715867162218,20.04074174271908,90.84516366552593,123.42307262025496,8696.50350951633,349.1243896484375,492.2557373046875
2023-08-31 00:00:00,113.81772224525642,6248.2352175819,20.04074174271908,92.29375339440388,123.82439068574045,8696.50350951633,13.181336402893066,5.656965255737305
2023-09-30 00:00:00,112.05483783722283,6164.342713250142,20.04074174271908,92.02612421048973,124.24212905627272,8696.50350951633,1347.6905517578125,1553.1761474609375
2023-10-31 00:00:00,116.4364504231745,6297.61239804094,20.04074174271908,94.01273921174149,124.85621896160484,9086.575567518383,2325.72412109375,4299.68798828125
2023-11-30 00:00:00,117.63973371898787,6107.8160047256215,20.04074174271908,95.74791440548688,125.50893989095081,9086.575567518383,3507.031494140625,4612.89208984375
2023-12-31 00:00:00,116.40519791568173,6385.166723922816,20.04074174271908,97.20080286483582,126.07911687698919,9086.575567518383,4688.9541015625,4783.259765625
2024-01-31 00:00:00,113.99870726428168,5936.752209151293,20.04074174271908,90.33803934232121,126.74327219222141,11166.948834103308,5260.9736328125,4895.90234375
2024-02-29 00:00:00,111.89342285817261,5940.010666067244,20.04074174271908,89.73170703661509,127.23176124606921,11166.948834103308,5156.47705078125,4949.72705078125
2024-03-31 00:00:00,115.43371190893725,7028.615448032241,20.04074174271908,92.5895082038196,127.73630309179505,11166.948834103308,4724.2431640625,4915.63623046875
2024-04-30 00:00:00,110.3298733102745,6681.596126859392,20.04074174271908,86.98117790131928,127.73307660614415,7506.01883799901,3650.388916015625,4786.32568359375
2024-05-31 00:00:00,112.60336028394721,7228.63537279619,20.04074174271908,86.77769273123253,127.86882064546066,7506.01883799901,1186.03271484375,3981.095703125
2024-06-30 00:00:00,113.96710818463818,7213.7724589672425,20.04074174271908,90.04217172595025,128.2741606484964,7506.01883799901,186.3895721435547,2518.385498046875
2024-07-31 00:00:00,114.42566266992343,7253.3426132936265,20.04074174271908,91.33893898508356,128.79953062411198,9255.621423604647,188.72674560546875,1374.125244140625
2024-08-31 00:00:00,114.76995931116696,7363.144562814917,20.04074174271908,92.65292035783217,129.21957123832078,9255.621423604647,5.703524112701416,1.0194857120513916
2024-09-30 00:00:00,113.11797299435628,7290.053973225617,20.04074174271908,92.4103120532085,129.6557221176721,9255.621423604647,329.5869445800781,1443.5069580078125
2024-10-31 00:00:00,117.22059828959752,7440.055409536416,20.04074174271908,94.20957724478525,130.28344129914143,9590.184286525293,1078.2161865234375,4371.32763671875
2024-11-30 00:00:00,118.34532548299804,7257.617708458563,20.04074174271908,95.7780933582317,130.9489048391809,9590.184286525293,1994.8094482421875,4656.97900390625
2024-12-31 00:00:00,117.19137510518219,7556.658503472055,20.04074174271908,97.08931134644105,131.53397042405675,9590.184286525293,3354.20654296875,4799.96142578125
2025-01-31 00:00:00,114.93945550070974,7105.767229943191,20.04074174271908,90.87845903501278,132.2107356566979,11331.45401393426,4025.95751953125,4895.0849609375
